"id",Market,Product Name,Price,Original Price,Discount,Image URL,Local Image Path
"80","Tamstore Khatai","Lamour Pişik Yemi 75 qr Mal Ətli","0.48","0.58","17%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/acb58f4c-8c34-11f0-b001-3eaf32167993_4620031676744.jpg","images/lamour_pi_ik_yemi_75_qr_mal__tli_79.jpg"
"81","Tamstore Khatai","OGX Şampun 385ml Biotin Həcm Nazik Saçlar","17.48","22.98","24%","https://imageproxy.wolt.com/assets/68a5c38572cf20388ef40dd5","images/ogx__ampun_385ml_biotin_h_cm_nazik_sa_lar_80.jpg"
"82","Tamstore Khatai","Milla Qaymaqlı Kənd Qatığı 6% 1kq","3.38","4.08","17%","https://imageproxy.wolt.com/assets/68a5c3b572cf20388ef40e51","images/milla_qaymaql__k_nd_qat____6__1kq_81.jpg"
"83","Tamstore Khatai","Lays Xama və Göyərti 70 qr","1.35","1.79","25%","https://imageproxy.wolt.com/assets/68a84c5110ec70798b773892","images/lays_xama_v__g_y_rti_70_qr_82.jpg"
"84","Tamstore Khatai","Macromax Mikrofiber Təmizlik Bezi 3 ədədli Açıq","5.98","7.98","25%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/ca842c92-89c6-11f0-bc21-52251e3d1c47_134595.jpg","images/macromax_mikrofiber_t_mizlik_bezi_3__d_dli_a__q_83.jpg"
"85","Tamstore Khatai","DEX Sensitive Nəm Salfet 72 ədəd","1.88","2.38","21%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/0228c4f4-8a5e-11f0-ae27-56ff5c8f4bee_120996.jpg","images/dex_sensitive_n_m_salfet_72__d_d_84.jpg"
"86","Tamstore Khatai","Always Platinum Qadın Bezi 5 ədəd Extra Gecə","2.98","4.58","35%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/8410261e-ab34-11f0-bd05-8e4de8646f32_8001841449784.jpg","images/always_platinum_qad_n_bezi_5__d_d_extra_gec__85.jpg"
"87","Tamstore Khatai","Hicaz Təzə Bud Butulka Açıq kq","4.98","7.20","31%","No image",""
"88","Tamstore Khatai","Persil Yuyucu Toz Vernel (10 kq.)","22.98","39.98","43%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/48d33ad0-97cc-11f0-942a-6a2c39c9bb18_9000100514149.jpg","images/persil_yuyucu_toz_vernel__10_kq___87.jpg"
"89","Tamstore Khatai","Long Chips Bbq 75qr","1.98","2.68","26%","https://imageproxy.wolt.com/assets/68a5c45e2bf4cafab97c248d","images/long_chips_bbq_75qr_88.jpg"
